"","Source","Statistic","df1","df2","Test.Comparison","Value","Reported.Comparison","Reported.P.Value","Computed","Raw","Error","DecisionError","OneTail","OneTailedInTxt","APAfactor"
"1","dissertation-Thiago=prefinal","Z",NA,NA,"=",11574.5,"<",0.01,0,"Z = 11574.5, p < 0.01",FALSE,FALSE,FALSE,TRUE,0.5
"2","dissertation-Thiago=prefinal","Z",NA,NA,"=",4232.5,"<",0.001,0,"Z = 4232.5, p < 0.001",FALSE,FALSE,FALSE,TRUE,0.5
"3","dissertation-Thiago=prefinal","Z",NA,NA,"=",322,"<",0.017,0,"Z = 322, p < 0.017",FALSE,FALSE,FALSE,TRUE,0.5
"4","dissertation-Thiago=prefinal","Z",NA,NA,"=",407.5,"<",0.017,0,"Z = 407.5, p < 0.017",FALSE,FALSE,FALSE,TRUE,0.5
"5","dissertation-Thiago=prefinal","Z",NA,NA,"=",275,"<",0.017,0,"Z = 275, p < 0.017",FALSE,FALSE,FALSE,TRUE,0.5
"6","dissertation-Thiago=prefinal","Z",NA,NA,"=",378,"<",0.05,0,"Z = 378, p < 0.05",FALSE,FALSE,FALSE,TRUE,0.5
"7","dissertation-Thiago=prefinal","Z",NA,NA,"=",540,"<",0.5,0,"Z = 540, p < 0.5",FALSE,FALSE,FALSE,TRUE,0.5
"8","dissertation-Thiago=prefinal","Z",NA,NA,"=",391.5,"<",0.5,0,"Z = 391.5, p < 0.5",FALSE,FALSE,FALSE,TRUE,0.5
"9","dissertation-Thiago=prefinal","F",4,36,"=",1630,"<",0.001,3.89432727832887e-40,"F (4, 36) =
1630, p < .001",FALSE,FALSE,FALSE,TRUE,0.5
"10","dissertation-Thiago=prefinal","t",NA,9,"=",-38.14,"<",0.001,2.90727295529861e-11,"t(9) = -38.14, p < .001",FALSE,FALSE,FALSE,TRUE,0.5
"11","dissertation-Thiago=prefinal","F",4,36,"=",718.8,"<",0.001,8.58586327554582e-34,"F (4, 36) = 718.8, p < .001",FALSE,FALSE,FALSE,TRUE,0.5
"12","dissertation-Thiago=prefinal","F",4,36,"=",308.2,"<",0.001,2.625959248648e-27,"F (4, 36) = 308.2, p < .001",FALSE,FALSE,FALSE,TRUE,0.5
"13","dissertation-Thiago=prefinal","F",4,36,"=",118.5,"<",0.001,3.35641899822633e-20,"F (4, 36) = 118.5, p < .001",FALSE,FALSE,FALSE,TRUE,0.5
"14","dissertation-Thiago=prefinal","F",4,36,"=",2213,"<",0.001,1.62950649717776e-42,"F (4, 36) = 2213, p < .001",FALSE,FALSE,FALSE,TRUE,0.5
"15","dissertation-Thiago=prefinal","t",NA,9,"=",-26.33,"<",0.001,7.94136048094808e-10,"t(9) = -26.33, p < .001",FALSE,FALSE,FALSE,TRUE,0.5
"16","dissertation-Thiago=prefinal","t",NA,9,"=",-7.45,"<",0.001,3.89214838427733e-05,"t(9) = -7.45, p < .001",FALSE,FALSE,FALSE,TRUE,0.5
"17","dissertation-Thiago=prefinal","t",NA,9,"=",-4.91,"<",0.001,0.000836041715132269,"t(9) = -4.91, p < .001",FALSE,FALSE,FALSE,TRUE,0.5
"18","dissertation-Thiago=prefinal","t",NA,9,"=",-27.14,"<",0.001,6.06462010726726e-10,"t(9) = -27.14, p < .001",FALSE,FALSE,FALSE,TRUE,0.5
